Priority,Tier,Record,Title,Collection,Type,Leaves,Thin leaves,Worst leaf MP,Why
1,1,goetzmann1564,"Yiju Gonghui Guild Note for Six Hundred Cash, Republic Year 8 (1919)","ICF Collection","Banknote",2,2,0.39,"notes say the scan is too small to read; under 1 MP; 2 leaves, 2 thin"
2,1,goetzmann1542,"Qing Imperial Note with Dragon Borders, Xianfeng Era","ICF Collection","Banknote",1,1,0.72,"notes say the scan is too small to read; under 1 MP"
3,1,goetzmann1793,"Chinese Agricultural Cooperative Share Certificate, 1956","ICF Collection","Stock Certificate",2,2,0.75,"notes say the scan is too small to read; under 1 MP; 2 leaves, 2 thin"
4,1,goetzmann1533,"Kingdom of Italy Five Per Cent Public Debt Provisional Certificate, Milan, 1869","ICF Collection","Bond",1,1,0.85,"notes say the scan is too small to read; under 1 MP"
5,1,goetzmann1523,"Bengal Bhatdee Coal Company Transfer of Shares, 1918","ICF Collection","Indenture",1,1,1.71,"notes say the scan is too small to read; text-heavy (indenture)"
6,1,goetzmann0186,"United States Lottery Ticket, Class the Third, Philadelphia, 1776","Beinecke Library","Lottery Bond",2,2,1.99,"on an exhibit; 2 leaves, 2 thin"
7,2,goetzmann1521,"French Assignat for Ten Livres, 1792","ICF Collection","Banknote",1,1,0.28,"under 1 MP"
8,2,goetzmann1522,"French Forced Loan Receipt of Year IV (1795)","ICF Collection","Receipt",1,1,0.39,"under 1 MP"
9,2,goetzmann1549,"French Assignat for Fifty Livres, 1792","ICF Collection","Banknote",1,1,0.45,"under 1 MP"
10,2,goetzmann1543,"L'Aurifère California Gold-Mining Share, Paris, 1850","ICF Collection","Stock Certificate",1,1,0.5,"under 1 MP"
11,2,goetzmann1528,"French Assignat for Sixty Livres, 1790","ICF Collection","Banknote",1,1,0.63,"under 1 MP"
12,2,goetzmann1490,"Central States Electric Corporation Certificate, Amsterdam, 1937","ICF Collection","Certificate",3,3,0.64,"under 1 MP; 3 leaves, 3 thin"
13,2,goetzmann1526,"Paris Hôtel de Ville Rentes Receipt, 1679","ICF Collection","Receipt",2,2,0.65,"under 1 MP; 2 leaves, 2 thin"
14,2,goetzmann1606,"German Government International Loan 1930 Rights Certificate, £1,000, Bad Homburg, 1979","ICF Collection","Certificate",1,1,0.66,"under 1 MP"
15,2,goetzmann1597,"United States Trust Company of New York Stock Certificate, Peter Richards Jr., 1866","ICF Collection","Stock Certificate",1,1,0.7,"under 1 MP"
16,2,goetzmann1604,"German Government International Loan 1930 Rights Certificate, 500 Guilders, Bad Homburg, 1960","ICF Collection","Certificate",1,1,0.71,"under 1 MP"
17,2,goetzmann1591,"United States Trust Company of New York Stock Certificate, Mary Parker Corning, 1893","ICF Collection","Stock Certificate",2,2,0.72,"under 1 MP; 2 leaves, 2 thin"
18,2,goetzmann1534,"English Exchequer Annuity Debenture for Alexander Denton, 1714","ICF Collection","Certificate",2,2,0.73,"under 1 MP; 2 leaves, 2 thin"
19,2,goetzmann1589,"United States Trust Company of New York Stock Certificate, Nicholas Fish, 1891","ICF Collection","Stock Certificate",2,2,0.74,"under 1 MP; 2 leaves, 2 thin"
20,2,goetzmann1492,"Mexican Interest in Arrears Receipt, Class A, New York, 1925","ICF Collection","Receipt",2,2,0.75,"under 1 MP; 2 leaves, 2 thin"
21,2,goetzmann1594,"United States Trust Company of New York Stock Certificate, A. M. Hyatt, 1892","ICF Collection","Stock Certificate",3,3,0.76,"under 1 MP; 3 leaves, 3 thin"
22,2,goetzmann1494,"Mexican Interest in Arrears Receipt, Class B, New York, 1925","ICF Collection","Receipt",2,2,0.77,"under 1 MP; 2 leaves, 2 thin"
23,2,goetzmann1541,"French Assignat for One Thousand Francs, Year III (1795)","ICF Collection","Banknote",1,1,0.78,"under 1 MP"
