id	kind	description	transcription
goetzmann0668	total	85412400	184490784 / 227766400 / 9025243 / 109327872
goetzmann0676	total	310498000	1241992000 / 1003529536 / 49120783 / 593672176
goetzmann0218	year	1727	1728 / 1730 / 1725
goetzmann0232	year	1923	1919
goetzmann0375	total	1500000	5000000
goetzmann0432	year	1912 / 1949 / 1952	1913 / 1908 / 1625 / 1940 / 1953
goetzmann0450	serial	22	1735
goetzmann0485	serial	74	50
goetzmann0509	serial	90	1799
goetzmann0558	year	1851	1881 / 1858 / 1859
goetzmann0576	serial	4131	71547
goetzmann0602	year	1922	1914
goetzmann0613	year	1886	1880 / 1890
goetzmann0622	year	1795 / 1796	1869
goetzmann0683	year	1930 / 1940 / 1933 / 1934 / 1932	1946 / 1926
goetzmann0685	year	1885	1946 / 1916
goetzmann0954	year	1838 / 1850	2000
goetzmann1034	year	1794	1819 / 1828 / 1829 / 1838 / 1839
