id	class	detail	title
goetzmann0632	printer / notary	Printed by De Bussy	England War Loan Dutch Certificate
goetzmann0636	serial number	No. 2442,	Bolivian Government Loan of 1872 Trust-Fund Certif
goetzmann0650	printer / notary	Printed by De Bussy.	Chrysler Corporation Share Certificate, Amsterdam
goetzmann0650	serial number	No. 40,	Chrysler Corporation Share Certificate, Amsterdam
goetzmann0654	large figure	100,000,000	Egyptian Credit Foncier Bearer Share
goetzmann0668	large figure	85,412,400	Imperial Russian Government Conversion Bond
goetzmann0669	large figure	181,950,000	Imperial Russian Government State Loan of 1902 Bon
goetzmann0724	large figure	27,350,000	City of Bari Prize Loan Bond
goetzmann0974	printer / notary	Printed by Imp. Paul Dupont.	Exposition Coloniale Internationale Paris Lottery 
goetzmann0235	large figure	1,500,000	Anglo-Argentine Tramways Company Debenture Stock C
goetzmann0316	large figure	12,500,000	Chicago, Rock Island & Pacific Rail Road Company M
goetzmann0331	large figure	3,500,000	Compagnie d'Inguaran (Mexique), Part de Bénéfices
goetzmann0332	large figure	3,200,000	Compagnie Occidentale de Madagascar Share, Paris
goetzmann0364	large figure	10,000,000	St. Petersburg Electric Lighting Preference Share
goetzmann0375	large figure	1,500,000	Republic of Texas Government Bond
goetzmann0380	printer / notary	printed by Socec & Co. The	Romanian Public Debt Internal Consolidation Loan
goetzmann0398	printer / notary	Printed by Imp. F. Fano	Minas Geraes Goldfields Limited Share Warrant, Lon
goetzmann0410	printer / notary	Printed by Imp. J. Cr	Omnium Français du Film Share
goetzmann0416	printer / notary	Lithographed by Cadenat Fr	Café de la Paix Béziers Founder's Share
goetzmann0426	large figure	1,800,000	Reconstitution of French Royal Rentes, Paris
goetzmann0436	printer / notary	Printed by Gebr. Parcus A.-G.	Walchensee Loan Bond, Munich
goetzmann0437	printer / notary	Printed by Napol	Seville–Jerez–Cadiz Railway Company Bearer Share
goetzmann0450	serial number	No. 22.	French-Peruvian Mining Company Share
goetzmann0465	large figure	1,463,000	Tontine Royale Subscription Contract
goetzmann0466	printer / notary	Lithographed by E. Guyot	Moscow & Russia Tramways Company Share
goetzmann0474	printer / notary	Printed by Tip. Lit. La	Y. Rofé & Co. Suez Canal Obligation Sale Agreement
goetzmann0485	serial number	No. 74,	Koninklijke Fransche Lyfrente Negotiatie van Maart
goetzmann0488	large figure	4,250,000	Chinese Imperial Government Gold Loan of 1908 Bond
goetzmann0490	printer / notary	Lithographed by Lankhout	Royal Dutch Petroleum Stock Purchase Warrant
goetzmann0509	serial number	No. 90,	Middelburg Plantation Bond for Essequibo and Demer
goetzmann0538	printer / notary	notary J. Barels.	Habsburg Imperial Obligation (Deutz Loan), Amsterd
goetzmann0576	serial number	No. 4131	Republic of Peru Gold Bond
goetzmann0584	serial number	No. 223072,	Bulgarian Gold Loan of 1907 Bond
goetzmann0604	printer / notary	Printed by Evans & Cogswell	Confederate States of America Cotton Loan Bond, Ri
goetzmann0606	serial number	No. 21,	Dutch Life-Annuity Tontine Conditions
goetzmann0613	printer / notary	Printed by Gebroeders Binger	Denver & Rio Grande Railway Dutch Bearer Certifica
goetzmann0909	large figure	1,000,000	The Caracas Company (Real Compañía Guipuzcoana de 
goetzmann0952	printer / notary	Printed by J. Gore.	Liverpool Colquitt Street Tontine Share
goetzmann0952	serial number	No. 29,	Liverpool Colquitt Street Tontine Share
goetzmann1035	printer / notary	notary Gervais.	French Royal Rente (Droit sur les Cuirs)
goetzmann1035	large figure	1,200,000	French Royal Rente (Droit sur les Cuirs)
goetzmann0729	large figure	145,000,000	Principality of Bulgaria Gold Loan of 1907 Bond
