score	id_a	id_b	title_a	title_b	signals
16	goetzmann0395	goetzmann0508	Republic of China Lung-Tsing-U-Hai Railway Treasury Bill	Chinese Republic Lung-Tsing-U-Hai Railway Treasury Bill	total 16667000 · denom 1000 guilders/16667000 guilders · title lung-tsing-u-hai railway treasury bill · SERIALS ADJACENT
14	goetzmann0446	goetzmann0447	Société de Lovitch des Produits et Engrais Chimiques (Łowicz) Share, Warsaw 1896	Société de Lovitch des Produits et Engrais Chimiques Share, Warsaw, 1895	denom 250 rubles · title soci lovitch produits engrais · same type+country · SERIALS ADJACENT
12	goetzmann0389	goetzmann0490	Royal Dutch Petroleum Company Share-Subscription Warrant, The Hague, 1937	Royal Dutch Petroleum Stock Purchase Warrant, No. 015284	denom 1000 guilders/4500 guilders · title dutch petroleum warrant · same type+country · SERIALS ADJACENT
11	goetzmann0186	goetzmann0215	United States Continental Congress Lottery Ticket, Philadelphia 1776	United States (Continental) Lottery Ticket, Philadelphia, 1776	title united states continental lottery · same type+country · SERIALS ADJACENT
11	goetzmann0980	goetzmann0354	Grand Russian Railway Company 3% Bond, St. Petersburg, 1881	Grand Society of Russian Railways (Главное Общество Российских Железных Дорог) Silver Bond	total 13147000 · denom 500 francs/20 pounds · title grand russian · same type+country
11	goetzmann0496	goetzmann0531	Continental Loan Office Bill of Exchange, Massachusetts Bay, 1778	Continental Loan Office Bill of Exchange, Massachusetts Bay	title continental office bill exchange · same type+country · SERIALS ADJACENT
11	goetzmann0496	goetzmann0532	Continental Loan Office Bill of Exchange, Massachusetts Bay, 1778	Continental Loan Office Bill of Exchange, No. 71	title continental office bill exchange · same type+country · SERIALS ADJACENT
11	goetzmann0531	goetzmann0532	Continental Loan Office Bill of Exchange, Massachusetts Bay	Continental Loan Office Bill of Exchange, No. 71	title continental office bill exchange · same type+country · SERIALS ADJACENT
11	goetzmann0601	goetzmann0621	Compagnie de Colonisation Américaine Land Share, Paris, 1820	Compagnie de Colonisation Américaine, Virginia & Kentucky Land Share, Paris	denom 1300 francs · title compagnie colonisation ricaine land · same type+country
10	goetzmann0665	goetzmann0666	Principality of Bulgaria 6% Hypothecary State Loan Bond, Sophia, 1892	Principality of Bulgaria 6% Hypothecary State Loan Double Bond, Sophia, 1892	total 142780000 · denom 142780000 francs · title principality bulgaria hypothecary sophia · same type+country · serials far apart — distinct pieces
9	goetzmann0696	goetzmann0738	Kingdom of Serbia 4% Amortisable Gold Bond	Kingdom of Serbia 4% Amortizable Loan of 1895 (reverse: amortization plan and coupon talons)	total 355292000 · denom 355292000 francs · same type+country
9	goetzmann0340	goetzmann0604	Confederate States of America Cotton Loan Bond	Confederate States of America $1,000 Cotton Loan Bond, Richmond, 1863	denom $1000 · title confederate states america cotton
9	goetzmann0341	goetzmann0342	Confederate States of America Bond	Confederate States of America Bond	denom $500 · title confederate states america · same type+country
9	goetzmann0496	goetzmann1038	Continental Loan Office Bill of Exchange, Massachusetts Bay, 1778	Continental Bill of Exchange	title continental bill exchange · same type+country · SERIALS ADJACENT
9	goetzmann0529	goetzmann1038	Continental Loan Office Bill of Exchange, No. 131	Continental Bill of Exchange	title continental bill exchange · same type+country · SERIALS ADJACENT
9	goetzmann0531	goetzmann1038	Continental Loan Office Bill of Exchange, Massachusetts Bay	Continental Bill of Exchange	title continental bill exchange · same type+country · SERIALS ADJACENT
9	goetzmann0532	goetzmann1038	Continental Loan Office Bill of Exchange, No. 71	Continental Bill of Exchange	title continental bill exchange · same type+country · SERIALS ADJACENT
8	goetzmann0669	goetzmann0386	Imperial Russian Government State Loan Bond, No. 196422	Imperial Russian Government 4% State Loan Bond, 1902	total 181950000/393000000 · denom 463 rubles/49 pounds · same type+country · serials far apart — distinct pieces
7	goetzmann0534	goetzmann0549	Vlaardingen Orphanage Lottery Loan Conditions	Vlaardingen Orphanage Negotiatie (Lottery-Loan), Batavian Republic, 9 May 1800	denom 50 guilders/48000 guilders · title vlaardingen orphanage · same type+country
