id	title	identifiers	flags	source_snippets
goetzmann0001	Austrian State Treasury Note for Five Thousand Crowns	No. 008,255 | Serie 1920b		notes:"No. 008,255," · notes:"Serie 1920b"
goetzmann0003	Internal State Loan for National Defense	Loan of 1941		description:"Loan of 1941"
goetzmann0019	Inventory of Assets Belonging to the Colony of Berbice	No. 524		description:"number 524"
goetzmann0134	English Lottery Trade Card Fortune's Carriage	No. 2,656 | No. 4		page:goetzmann0167:"No. 2,656," · page:goetzmann0172:"No. 4"
goetzmann0181	Continental Lottery Subscriber List	No. 52		description:"No 52"
goetzmann0186	United States Continental Congress Lottery Ticket, Philadelphia 1776	No. 1A		notes:"No. 1A"
goetzmann0403	New York Central Rail Road Company Bond	No. 1890	year-like:No. 1890	notes:"No. 1890."
goetzmann0408	Spanish Colonial Government Payment Order	No. 444		notes:"No. 444."
goetzmann0409	Imperial Russian Internal Prize Loan	No. 45 | Serie 15871 | Loan of 1864		notes:"No. 45." · notes:"Series 15871," · notes:"Loan 1864"
goetzmann0464	Thomas C. Jenkins, Wholesale Dealer in Flour & Groceries Invoice to Offutt & Son (Pittsburgh, Pennsylvania)	No. 508–522		notes:"Nos. 508–522"
goetzmann0471	Holladay Overland Mail and Express Company Blank Check, Virginia City, Montana Territory	No. 224S		notes:"No. 224S"
goetzmann0542	Bourbon Princes in Exile Loan Certificate, Amsterdam, 1793	No. 34		notes:"No. 34,"
goetzmann0543	Ricardo & De Lara Forward Contract for British Consolidated Stock	No. 70		notes:"No. 70"
goetzmann0631	Russian Public Debt (Assignation Funds) Certificate	No. 2081	year-like:No. 2081	notes:"No. 2081"
goetzmann0632	England War Loan Dutch Certificate	No. 15145 | Loan of 1932		notes:"No. 15145" · notes:"Loan 1932"
goetzmann0633	Austrian Construction Lottery Loan (Bau-Los), Vienna, 1921	No. 060 | Serie 1,790 | No. 383	year-like:Serie 1,790	notes:"No. 060" · notes:"Series 1,790" · description:"Nr. 383,"
goetzmann0634	City of Baku 5% Loan Bond, 1910	No. 00603 | No. 1-71432 | No. 20783		notes:"No. 00603." · notes:"Nos. 1-71432" · notes:"No. 20783"
