id	before	after
goetzmann0079	Pasquin's Windkaart: Dutch Satirical Playing Cards on the 1720 Windhandel (Deck of 55)	Pasquin's Windkaart: Dutch Satirical Playing Cards on the 1720 Windhandel
goetzmann0186	United States Continental Congress Lottery Ticket, Philadelphia 1776	United States Continental Congress Lottery Ticket, Philadelphia
goetzmann0536	States of Gelderland (Quarter of Zutphen) Redeemable Bond, Arnhem, c. 1647-1650	States of Gelderland (Quarter of Zutphen) Redeemable Bond, Arnhem
goetzmann0537	Kingdom of Sweden Royal Loan Bond (Amsterdam, 1785)	Kingdom of Sweden Royal Loan Bond (Amsterdam)
goetzmann0542	Bourbon Princes in Exile Loan Certificate, Amsterdam, 1793	Bourbon Princes in Exile Loan Certificate, Amsterdam
goetzmann0545	Conditions of the Daniel Changuion Plantation Loan, Essequibo and Demerara, 1816	Conditions of the Daniel Changuion Plantation Loan, Essequibo and Demerara
goetzmann0608	Stolkert Surinam Plantation Mortgage to Du Plessis & Taunay, Amsterdam, 1777	Stolkert Surinam Plantation Mortgage to Du Plessis & Taunay, Amsterdam
goetzmann0609	Heshuysen & Compagnie / James Balmer Mortgage on Plantation Vauxhall, Dominica (Notarial Copy, Amsterdam, 1777)	Heshuysen & Compagnie / James Balmer Mortgage on Plantation Vauxhall, Dominica (Notarial Copy, Amsterdam)
goetzmann0633	Austrian Construction Lottery Loan (Bau-Los), Vienna, 1921	Austrian Construction Lottery Loan (Bau-Los), Vienna
goetzmann0634	City of Baku 5% Loan Bond, 1910	City of Baku Loan Bond
goetzmann0637	Bolivian Republic Fondo Público Bond, Sucre, 1846	Bolivian Republic Fondo Público Bond, Sucre
goetzmann0638	Bosnia-Herzegovina 5% Provincial Investment Loan Bond, Sarajevo and Vienna, 1914	Bosnia-Herzegovina Provincial Investment Loan Bond, Sarajevo and Vienna
goetzmann0639	Bosnia-Herzegovina 4½% Railway Land Loan Bond, Sarajevo and Vienna, 1902	Bosnia-Herzegovina Railway Land Loan Bond, Sarajevo and Vienna
goetzmann0641	Bosnia and Herzegovina Employment Loan Bond, Sarajevo, 1987	Bosnia and Herzegovina Employment Loan Bond, Sarajevo
goetzmann0647	Companhia da Zambezia Provisional Share Certificate, Lisbon, 1900	Companhia da Zambezia Provisional Share Certificate, Lisbon
goetzmann0650	Chrysler Corporation Share Certificate, Amsterdam, 1926	Chrysler Corporation Share Certificate, Amsterdam
goetzmann0653	Czechoslovak State 8% Sterling Bond, Prague, 1924	Czechoslovak State Sterling Bond, Prague
goetzmann0656	Bank of England Letter of Attorney for Consolidated £3 per Cent. Annuities	Bank of England Letter of Attorney for Consolidated £ Annuities
goetzmann0658	Kingdom of Serbia 5% Gold Loan Bond, Belgrade, 1913	Kingdom of Serbia Gold Loan Bond, Belgrade
goetzmann0659	City of Berlin Municipal Loan Bond, Berlin, 1923	City of Berlin Municipal Loan Bond, Berlin
goetzmann0660	Kingdom of Greece 2.5% Guaranteed Gold Loan Bond, 1898	Kingdom of Greece Guaranteed Gold Loan Bond
goetzmann0662	Hungarian Mortgage Bank Conversion Prize Bond, Budapest, 1906	Hungarian Mortgage Bank Conversion Prize Bond, Budapest
goetzmann0665	Principality of Bulgaria 6% Hypothecary State Loan Bond, Sophia, 1892	Principality of Bulgaria Hypothecary State Loan Bond, Sophia
goetzmann0666	Principality of Bulgaria 6% Hypothecary State Loan Double Bond, Sophia, 1892	Principality of Bulgaria Hypothecary State Loan Double Bond, Sophia
goetzmann0669	Imperial Russian Government State Loan Bond, No. 196422	Imperial Russian Government State Loan Bond
goetzmann0675	Imperial Russian Government, Nikolaevsky Railway 4% Bond (St. Petersburg, 1867)	Imperial Russian Government, Nikolaevsky Railway Bond (St. Petersburg)
goetzmann0676	Imperial Russian Government Consolidated 4% Railway Bond	Imperial Russian Government Consolidated Railway Bond
goetzmann0677	Russian Provisional Government Liberty Loan, Petrograd, 1917	Russian Provisional Government Liberty Loan, Petrograd
goetzmann0679	Student Loan Marketing Association (Sallie Mae) Yield Curve Note, United States, 1986	Student Loan Marketing Association (Sallie Mae) Yield Curve Note, United States
goetzmann0689	National Pisco to Yca Railway Company Guaranteed Loan Bond, Republic of Peru, London, 1869	National Pisco to Yca Railway Company Guaranteed Loan Bond, Republic of Peru, London
goetzmann0693	Kingdom of Serbs, Croats and Slovenes 4% Agrarian Liquidation Bond for Bosnia and Herzegovina, 500 dinars	Kingdom of Serbs, Croats and Slovenes Agrarian Liquidation Bond for Bosnia and Herzegovina
goetzmann0696	Kingdom of Serbia 4% Amortisable Gold Bond	Kingdom of Serbia Amortisable Gold Bond
goetzmann0697	Chinese Imperial Government 4½% Gold Loan Bond, Berlin, 1898	Chinese Imperial Government Gold Loan Bond, Berlin
goetzmann0701	Government of Honduras State Railway Loan Bearer Obligation, Paris, 1869	Government of Honduras State Railway Loan Bearer Obligation, Paris
goetzmann0706	Liberian Government 7% Loan Arrear Interest Certificate, London, 1899	Liberian Government Loan Arrear Interest Certificate, London
goetzmann0707	República Mexicana 5% Consolidated External Debt Gold Bond, 1899	República Mexicana Consolidated External Debt Gold Bond
goetzmann0709	Provisional Bearer Receipt for the 4% Ottoman Unified Converted Debt, Paris, 1933	Provisional Bearer Receipt for the Ottoman Unified Converted Debt, Paris
goetzmann0710	Société Ottomane du Chemin de Fer de Damas-Hamah Bond, Constantinople, 1910	Société Ottomane du Chemin de Fer de Damas-Hamah Bond, Constantinople
goetzmann0711	Ottoman Public Debt Bearer Receipt, Amsterdam, 1930	Ottoman Public Debt Bearer Receipt, Amsterdam
goetzmann0713	Republic of Peru 100-soles bond for the Arica customs house, Lima, 1871	Republic of Peru 100-soles bond for the Arica customs house, Lima
goetzmann0716	Republic of Poland Dollar Premium Loan Bond, Warsaw, 1931	Republic of Poland Dollar Premium Loan Bond, Warsaw
goetzmann0718	Portuguese External Fund Zero-Coupon Bond, Lisbon, 1902	Portuguese External Fund Zero-Coupon Bond, Lisbon
goetzmann0719	Hope & Co. Certificate of Russian 6% Bank Assignations, Amsterdam, 1825	Hope & Co. Certificate of Russian Bank Assignations, Amsterdam
goetzmann0721	Russian State Internal 4½% Lottery Loan Bond, Provisional Government, 1917	Russian State Internal Lottery Loan Bond, Provisional Government
goetzmann0735	Principality of Bulgaria 5% Gold Loan (conditions)	Principality of Bulgaria Gold Loan (conditions)
goetzmann0736	Province of Buenos Aires Consolidated Internal Debt Bond, La Plata, 1935	Province of Buenos Aires Consolidated Internal Debt Bond, La Plata
goetzmann0738	Kingdom of Serbia 4% Amortizable Loan of 1895 (reverse: amortization plan and coupon talons)	Kingdom of Serbia Amortizable Loan of 1895 (reverse: amortization plan and coupon talons)
goetzmann0980	Grand Russian Railway Company 3% Bond, St. Petersburg, 1881	Grand Russian Railway Company Bond, St. Petersburg
goetzmann0984	Province of Nova Scotia Government Redeemable Stock, London, 1904	Province of Nova Scotia Government Redeemable Stock, London
goetzmann0998	USSR Third State Loan for Reconstruction Bond, 1948	USSR Third State Loan for Reconstruction Bond
goetzmann1002	Nationalist Government Whampoa Harbour Lottery Bond, Second Issue, Canton, 1926	Nationalist Government Whampoa Harbour Lottery Bond, Second Issue, Canton
goetzmann1004	Imperial Russian Government 4% Consolidated Railway Bond, 1889	Imperial Russian Government Consolidated Railway Bond
goetzmann1006	Shanghai Pudong Qiangsheng Taxi Co. Share Certificate (Shanghai, 1992)	Shanghai Pudong Qiangsheng Taxi Co. Share Certificate (Shanghai)
goetzmann1023	Dutch Manuscript Annuity Obligation (ca. 1703)	Dutch Manuscript Annuity Obligation
goetzmann0215	United States (Continental) Lottery Ticket, Philadelphia, 1776	United States (Continental) Lottery Ticket, Philadelphia
goetzmann0226	State of Massachusetts-Bay War Bond issued to Seth Davenport, 1777	State of Massachusetts-Bay War Bond issued to Seth Davenport
goetzmann0230	Kingdom of Greece 2½% Guaranteed Gold Loan Bond, Athens, 1898	Kingdom of Greece Guaranteed Gold Loan Bond, Athens
goetzmann0231	Romania National Defense Fund 4% Army Equipment Bond (Bon pentru Înzestrarea Armatei), 500 Lei, Bucharest, 1940	Romania National Defense Fund Army Equipment Bond (Bon pentru Înzestrarea Armatei), Bucharest
goetzmann0232	American & British Securities Company Common Stock Certificate, Delaware, 1923	American & British Securities Company Common Stock Certificate, Delaware
goetzmann0233	American Sugar Company 5.44% Cumulative Preferred Stock Certificate, Delaware, 1967	American Sugar Company Cumulative Preferred Stock Certificate, Delaware
goetzmann0235	Anglo-Argentine Tramways Company Debenture Stock Certificate (reverse), London, 1910	Anglo-Argentine Tramways Company Debenture Stock Certificate (reverse), London
goetzmann0298	Bank Małopolski Share Certificate, Kraków, 1920	Bank Małopolski Share Certificate, Kraków
